coffee_name,total_money,observation_count,share,cumulative_share,ABC_class,share_percent,cumulative_share_percent
Latte,26875.3,757,0.23943303602689744,0.23943303602689744,A,23.94,23.94
Americano with Milk,24751.12,809,0.22050863829114695,0.4599416743180444,A,22.05,45.99
Cappuccino,17439.14,486,0.15536593957641806,0.6153076138944624,A,15.54,61.53
Americano,14650.26,564,0.1305197050966283,0.7458273189910907,A,13.05,74.58
Hot Chocolate,9933.46,276,0.08849756043846002,0.8343248794295507,B,8.85,83.43
Cocoa,8521.16,239,0.07591532780177179,0.9102402072313225,B,7.59,91.02
Cortado,7384.86,287,0.06579198931485765,0.9760321965461801,C,6.58,97.6
Espresso,2690.28,129,0.023967803453819738,0.9999999999999999,C,2.4,100.0
